frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
25,0.0,0.0,-0.0,12.0,11.28,32.9,0.0,-0.03,1.76,2.87,5.4,8.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
26,0.0,0.0,-0.0,12.0,11.73,36.19,-0.0,-0.03,2.49,3.83,6.69,10.54,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
27,0.0,0.0,-0.0,12.0,12.09,39.44,-0.0,-0.03,3.33,4.9,8.08,12.24,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
28,0.0,0.0,-0.0,12.0,12.36,42.64,-0.0,-0.03,4.28,6.08,9.57,14.01,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
29,0.0,0.0,-0.0,12.0,12.53,45.75,0.0,-0.03,5.31,7.36,11.13,15.84,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
30,0.0,0.0,-0.0,12.0,12.59,48.74,-0.0,-0.03,6.44,8.72,12.76,17.71,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
31,0.0,0.0,-0.0,12.0,12.59,51.59,-0.0,-0.03,7.64,10.16,14.45,19.61,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
32,0.0,0.0,-0.0,12.0,12.59,54.26,-0.0,-0.03,8.92,11.67,16.19,21.54,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
33,0.0,0.0,-0.0,12.0,12.59,56.72,-0.0,-0.03,10.26,13.23,17.97,23.46,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
34,0.0,0.0,-0.0,12.0,12.59,58.96,-0.0,-0.03,11.67,14.85,19.77,25.39,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
35,0.0,0.0,-0.0,12.0,12.59,60.93,0.0,-0.03,13.12,16.51,21.59,27.29,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
36,0.0,0.0,-0.0,12.0,12.59,62.6,0.0,-0.03,14.62,18.2,23.41,29.16,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
37,0.0,0.0,-0.0,12.0,12.59,63.96,-0.0,-0.03,16.15,19.91,25.23,30.99,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
38,0.0,0.0,-0.0,12.0,12.59,64.96,-0.0,-0.03,17.71,21.63,27.03,32.76,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
39,0.0,0.0,-0.0,12.0,12.59,65.59,0.0,-0.03,19.3,23.37,28.81,34.46,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
40,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,20.89,25.09,30.55,36.08,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
41,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,22.5,26.8,32.24,37.6,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
42,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,24.11,28.49,33.87,39.02,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
43,0.0,0.0,-0.0,12.0,12.59,65.8,0.0,-0.03,25.7,30.15,35.43,40.32,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-17.12,-24.74
