frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
1,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.62,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.33
2,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,28.54,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,20.18
3,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,26.88,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,16.85
4,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,24.74,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,12.57
5,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,22.22,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,7.54
6,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,19.44,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,1.98
7,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,16.5,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-3.91
8,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,13.5,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-9.9
9,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,10.56,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-15.78
10,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,7.78,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-21.34
